,구군,읍면동,예측 유동인구,총 인구,예측 구매력,구의 동별 평균 인구,구의 동별 평균 구매력,영업이익/매출액(%),경쟁업체 수,예측 유동인구 평균,경쟁업체 평균,영업이익/매출액(%) 평균
109,해운대구,중1동,2.6618,23.17,20.2606,16.145,11.2344,4.926412856450778,6.3,8.455194117647059,3.8176470588235287,7.324890534882295
110,해운대구,중2동,10.6591,15.97,13.9648,16.145,11.2344,6.605535178392798,1.4,8.455194117647059,3.8176470588235287,7.324890534882295
111,해운대구,좌1동,6.1241,18.615,16.2776,16.145,11.2344,5.443569329284314,3.8,8.455194117647059,3.8176470588235287,7.324890534882295
112,해운대구,좌2동,3.0981,32.877,28.7488,22.394,13.7352,13.1065072753827,6.3,8.455194117647059,3.8176470588235287,7.324890534882295
113,해운대구,좌3동,12.0698,16.95,14.8216,22.394,13.7352,14.361780801656561,1.2,8.455194117647059,3.8176470588235287,7.324890534882295
114,해운대구,좌4동,13.3793,24.145,21.1132,22.394,13.7352,11.261789951496814,2.3,8.455194117647059,3.8176470588235287,7.324890534882295
115,해운대구,송정동,8.3355,10.368,9.0662,22.394,13.7352,4.394132500256987,3.4,8.455194117647059,3.8176470588235287,7.324890534882295
116,해운대구,반여1동,1.5666,35.767,31.2758,22.394,13.7352,4.521830490035729,4.5,8.455194117647059,3.8176470588235287,7.324890534882295
117,해운대구,반여2동,15.2729,13.766,12.0374,22.394,13.7352,8.048801054826445,1.8,8.455194117647059,3.8176470588235287,7.324890534882295
118,해운대구,반여3동,18.1255,9.508,8.3142,22.394,13.7352,8.069254555444058,1.1,8.455194117647059,3.8176470588235287,7.324890534882295
119,해운대구,반여4동,10.6751,16.598,14.5138,22.394,13.7352,5.11872826626925,0.7,8.455194117647059,3.8176470588235287,7.324890534882295
120,해운대구,반송1동,18.3917,15.145,13.2432,22.394,13.7352,11.057002210343704,4.0,8.455194117647059,3.8176470588235287,7.324890534882295
121,해운대구,반송2동,9.3405,25.182,22.02,22.394,13.7352,3.612346120501189,5.0,8.455194117647059,3.8176470588235287,7.324890534882295
122,해운대구,재송1동,2.8416,38.542,33.7024,22.394,13.7352,5.137969306134947,4.8,8.455194117647059,3.8176470588235287,7.324890534882295
123,해운대구,재송2동,10.3402,26.716,23.3614,22.394,13.7352,6.69334651381559,2.2,8.455194117647059,3.8176470588235287,7.324890534882295
124,사하구,괴정1동,14.113,20.658,12.9232,22.394,13.7352,8.347877262764834,5.0,12.818481249999998,3.7375,6.6766254523133
125,사하구,괴정2동,10.3837,14.833,9.2792,22.394,13.7352,7.93099843178254,2.3,12.818481249999998,3.7375,6.6766254523133
126,사하구,괴정3동,11.8845,13.395,8.3796,22.394,13.7352,9.88553590010406,4.0,12.818481249999998,3.7375,6.6766254523133
